Company,Location,Date,Level,NameTag,Years of Experience,At Company,Total Compensation (SGD),Base,Stock (yr),Bonus
Seagate,Singapore, SG, Singapore,16/10/2023,L4,Artificial Intelligence Research,1 yr,1 yr,60.000 S$,60 mil,N/A,N/A
ByteDance,Singapore, SG, Singapore,11/10/2023,2-1,R&D,3 yrs,0 yrs,137.500 S$,110 mil,N/A,27.5 mil
DHL,Singapore, SG, Singapore,10/10/2023,-,-,5 yrs,3 yrs,127.000 S$,112 mil,N/A,15 mil
GovTech,Singapore, SG, Singapore,07/10/2023,L2,Data,4 yrs,1 yr,136.360 S$,136.4 mil,N/A,N/A
Singapore Management University,Singapore, SG, Singapore,05/10/2023,-,Research,1 yr,1 yr,72.000 S$,72 mil,N/A,N/A
National University of Singapore,Singapore, SG, Singapore,05/10/2023,L3,NLP,4 yrs,1 yr,80.000 S$,64 mil,N/A,16 mil
Grab,Singapore, SG, Singapore,04/10/2023,G4,Analytics,5 yrs,2 yrs,150.001 S$,150 mil,N/A,N/A
SAP,Singapore, SG, Singapore,03/10/2023,T2,AI,1 yr,0 yrs,90.000 S$,90 mil,N/A,N/A
Grab,Singapore, SG, Singapore,21/09/2023,G4,Geo,4 yrs,2 yrs,203.000 S$,150 mil,40 mil,13 mil
Micron Technology,Singapore, SG, Singapore,19/09/2023,E1,SM,AI,1 yr,1 yr,68.408 S$,65 mil,3.4 mil,N/A
Grab,Singapore, SG, Singapore,10/09/2023,G5,new,8 yrs,0 yrs,211.524 S$,172.3 mil,5.6 mil,33.6 mil
Standard Chartered,Singapore, SG, Singapore,09/09/2023,6,Band,8 yrs,3 yrs,177.560 S$,142.6 mil,N/A,35 mil
Traveloka,Singapore, SG, Singapore,09/09/2023,L4,Data,5 yrs,3 yrs,143.283 S$,122.8 mil,N/A,20.5 mil
Shopee,Singapore, SG, Singapore,07/09/2023,L1,-,0 yrs,0 yrs,67.200 S$,67.2 mil,N/A,N/A
Standard Chartered,Singapore, SG, Singapore,06/09/2023,6C,b,4 yrs,1 yr,150.000 S$,150 mil,N/A,N/A
Grab,Singapore, SG, Singapore,04/09/2023,G4,DS,1 yr,1 yr,137.000 S$,100 mil,22 mil,15 mil
Grab,Singapore, SG, Singapore,01/09/2023,G5,Data Science,6 yrs,3 yrs,249.000 S$,174 mil,40 mil,35 mil
Alibaba Cloud,Singapore, SG, Singapore,31/08/2023,P4,Intern,4 yrs,4 yrs,60.000 S$,60 mil,N/A,N/A
Lazada,Singapore, SG, Singapore,31/08/2023,L3,P4,17 yrs,3 yrs,124.000 S$,124 mil,N/A,N/A
Shanda Group,Singapore, SG, Singapore,31/08/2023,-,-,5 yrs,0 yrs,162.000 S$,162 mil,N/A,N/A
Binance,Singapore, SG, Singapore,31/08/2023,T3.2,Data Service,9 yrs,1 yr,262.008 S$,156 mil,54 mil,52 mil
Refinitiv,Singapore, SG, Singapore,30/08/2023,2,Research,5 yrs,2 yrs,120.000 S$,120 mil,N/A,N/A
Data Scientist,Singapore, SG, Singapore,29/08/2023,hidden,hidden,5-10 yrs,2-4 yrs,143.700 S$,124.8 mil,N/A,18.9 mil
Shopee,Singapore, SG, Singapore,24/08/2023,L3,Credit,1 yr,1 yr,114.013 S$,114 mil,N/A,N/A
GovTech,Singapore, SG, Singapore,23/08/2023,Data Scientist II,Data Scientist,4 yrs,4 yrs,108.000 S$,108 mil,N/A,N/A
Grab,Singapore, SG, Singapore,17/08/2023,G6,Analytics,9 yrs,5 yrs,271.000 S$,168 mil,70 mil,33 mil
Lazada,Singapore, SG, Singapore,17/08/2023,hidden,hidden,5-10 yrs,2-4 yrs,200.001 S$,200 mil,N/A,N/A
MOLOCO,Singapore, SG, Singapore,10/08/2023,L3,Growth,4 yrs,1 yr,133.134 S$,90 mil,29.6 mil,13.5 mil
